Trial 2power 1 (W),time (seconds since jan 1 1975),Trial 2power 2 (W),time (seconds since jan 1 1975),Sdifference
2.10E-05,1750366835,3.49E-05,1750366835,-2.49E-01
2.11E-05,1750366835,3.49E-05,1750366835,-2.46E-01
2.11E-05,1750366835,3.49E-05,1750366835,-2.46E-01
2.11E-05,1750366835,3.49E-05,1750366835,-2.46E-01
2.11E-05,1750366835,3.49E-05,1750366835,-2.46E-01
2.11E-05,1750366835,3.49E-05,1750366835,-2.46E-01
2.11E-05,1750366835,3.49E-05,1750366835,-2.46E-01
2.11E-05,1750366835,3.49E-05,1750366835,-2.46E-01
2.11E-05,1750366835,3.49E-05,1750366835,-2.46E-01
2.11E-05,1750366835,3.48E-05,1750366835,-2.45E-01
2.11E-05,1750366835,3.48E-05,1750366835,-2.45E-01
2.11E-05,1750366835,3.48E-05,1750366835,-2.45E-01
2.11E-05,1750366835,3.48E-05,1750366835,-2.45E-01
2.10E-05,1750366835,3.48E-05,1750366835,-2.47E-01
2.10E-05,1750366836,3.48E-05,1750366836,-2.47E-01
